CODIGO,CODIGO VF,DESCRIPCION,PROVEEDOR,COMPRADOR,TÉRMINOS DE PAGO,DÍAS DE PAGO,MOQ,Lead Time/ días,UDM,Precio,Totales Requeridos Semana N,Inventario Inicial,WIP,Recepciones,Recepciones Monto,Por Comprar,OC x fincar,Compra req para tener el Min,Min/Optimo,Inventario teorico con recepciones de la semana,Max/Optimo,Compras pre autorizadas por finanzas en transito,Compras pre autorizadas por en transito finanzas (Monto),Totales Requeridos N+1,Inventarios al 9 de mayo2026,Por Comprar,OC x fincar,Compra req para tener el Min,Min/Optimo,Inventario teorico acumulado con OC PP,Max/Optimo,Compras pre autorizadas por finanzas en transito,Compras pre autorizadas por en transito finanzas (Monto),Totales Requeridos N+2,Inventarios al 9 de mayo2026,Por Comprar,OC x fincar,Compra req para tener el Min,Min/Optimo,Inventario teorico acumulado con OC PP,Max/Optimo,Compras pre autorizadas por finanzas en transito,Compras pre autorizadas por en transito finanzas (Monto),Totales Requeridos N+3,Inventarios al 9 de mayo2026,Por Comprar,OC x fincar,Compra req para tener el Min,Min/Optimo,Inventario teorico acumulado con OC PP,Max/Optimo,Compras pre autorizadas por finanzas en transito,Compras pre autorizadas por en transito finanzas (Monto),Totales Requeridos N+4,Inventarios al 9 de mayo2026,Por Comprar,OC x fincar,Compra req para tener el Min,Min/Optimo,Inventario teorico acumulado con OC PP,Max/Optimo,Compras pre autorizadas por finanzas en transito,Compras pre autorizadas por en transito finanzas (Monto),Totales Requeridos N+5,Inventarios al 9 de mayo2026,Por Comprar,OC x fincar,Compra req para tener el Min,Min/Optimo,Inventario teorico acumulado con OC PP,Max/Optimo,Compras pre autorizadas por finanzas en transito,Categoría,ESTATUS
ATOMIALIEN,COMP_TAPAATOMI,PIST TRIGGER 28/400 NATURAL L TUBO 280MM,PLASTI SPRAYING,JOSE,Adelantado,-,"60,000",10,Pza,$1.70,-,"84,500",-,-,-,-,Ok,-,"72,600","84,500.00","96,800",-,$-,"29,703","84,500",-,Ok,-,"72,600","84,797.00","96,800","30,000","$51,000.00","29,703","54,797",-,Ok,-,"72,600","85,094.00","96,800","30,000","$51,000.00","24,200","25,094",-,Ok,-,"72,600","85,894.00","96,800","25,000","$42,500.00","24,200",894,"23,306",Ok,-,"72,600","86,694.00","96,800","25,000","$42,500.00","24,200",-,"24,200",Fincar,"10,106","72,600","62,494.00","96,800",-,TAPA,ACTIVO
COCAMIDOPR,COCAMIDOPR,COCOAMIDOPROPIL BETAINA,AUSTRAL COSMETICA SA DE CV,JOVANY,Anticipo,30,220,8,Kg,$19.01,850,"5,255",113,-,-,-,Ok,-,"3,843","4,404.50","4,803",-,$-,500,"4,405",-,Ok,-,"3,843","4,904.50","4,803","1,000","$19,010.00",263,"3,905",-,Ok,-,"3,843","4,642.00","4,803",-,$-,961,"3,642",-,Ok,-,"3,843","4,681.37","4,803","1,000","$19,010.00",961,"2,681",-,Fincar,122,"3,843","3,720.75","4,803",-,$-,961,"1,721",-,Fincar,"1,082","3,843","2,760.12","4,803",-,QUÍMICOS,ACTIVO
DIETANOLCO,DIETANOLCO,DIETANOLAMIDA DE COCO,AUSTRAL COSMETICA SA DE CV,JOVANY,Anticipo,30,220,8,Kg,$39.69,565,"7,113",255,-,-,-,Ok,-,"3,388","6,548.30","4,235",-,$-,830,"6,548",-,Ok,-,"3,388","6,718.30","4,235","1,000","$39,690.00",570,"5,718",-,Ok,-,"3,388","6,148.30","4,235",-,$-,847,"5,148",-,Ok,-,"3,388","5,301.29","4,235",-,$-,847,"4,301",-,Ok,-,"3,388","4,454.28","4,235",-,$-,847,"3,454",-,Ok,-,"3,388","3,607.27","4,235",-,QUÍMICOS,ACTIVO
JABONPOTAC,JABONPOTAC,JABON POTASICO (ESTARPON JK),AUSTRAL COSMETICA SA DE CV,JOVANY,Contado,30,"1,000",8,Kg,$17.56,800,"9,299",400,"2,000.00","35,120.00",-,Ok,-,"6,794","10,498.50","8,492",-,$-,"1,600","10,499",-,Ok,-,"6,794","10,898.50","8,492","2,000","$35,120.00","2,000","8,899",-,Ok,-,"6,794","8,898.50","8,492",-,$-,"1,698","6,899",-,Ok,-,"6,794","9,200.01","8,492","2,000","$35,120.00","1,698","5,200",-,Ok,-,"6,794","7,501.52","8,492",-,$-,"1,698","3,502",-,Fincar,991,"6,794","5,803.02","8,492",-,QUÍMICOS,ACTIVO
OXIDOAMINA,OXIDOAMINA,OXIDO DE AMINA,AUSTRAL COSMETICA SA DE CV,JOVANY,Contado,30,600,8,Kg,$25.16,7.5,"2,460",8,-,-,-,Ok,-,257,"3,452.80",386,"1,000","$25,160.00",15,"2,453",-,Ok,-,257,"4,437.80",386,"1,000","$25,160.00",65,"2,438",-,Ok,-,257,"4,372.80",386,-,$-,43,"2,373",-,Ok,-,257,"4,329.89",386,-,$-,43,"2,330",-,Ok,-,257,"4,286.97",386,-,$-,43,"2,287",-,Ok,-,257,"4,244.06",386,-,QUÍMICOS,ACTIVO
CRRLAVTLI7,CRRLAVTLI7,COR GENERICO LAVAT BC 750ML,CARTO EMPAQUES DEL CENTRO SA DE CV,CLARA,Crédito,60,"1,000",8,Pza,$6.08,"1,334.00","6,136",300,-,-,-,Ok,-,"3,317","4,802.00","4,975",-,$-,"1,634","4,802",-,Fincar,149,"3,317","3,168.00","4,975",-,$-,"1,634","3,168",-,Fincar,"1,783","3,317","1,534.00","4,975",-,$-,"1,658","1,534",124,Fincar,"3,317","3,317",-,"4,975",-,$-,"1,658",-,"1,658",Fincar,"3,317","3,317",-,"4,975",-,$-,"1,658",-,"1,658",Fincar,"3,317","3,317",-,"4,975",-,CORRUGADO,ACTIVO
CRRMULOPP1,CRRMULOPP1,CORR MULT OPP 1L,CARTO EMPAQUES DEL CENTRO SA DE CV,CLARA,Crédito,60,"1,000",8,Pza,$7.31,"2,632.00","4,978",692,-,-,-,Ok,-,"3,999","5,346.00","5,998","3,000","$21,930.00","1,662","2,346",-,Fincar,315,"3,999","3,684.00","5,998",-,$-,"1,662",684,978,Fincar,"1,977","3,999","2,022.00","5,998",-,$-,"1,999",-,"1,999",Fincar,"3,976","3,999",22.6,"5,998",-,$-,"1,999",-,"1,999",Fincar,"3,999","3,999",-,"5,998",-,$-,"1,999",-,"1,999",Fincar,"3,999","3,999",-,"5,998",-,CORRUGADO,ACTIVO
CRRMULOPP5,CRRMULOPP5,CORR MULT OPP 5L,CARTO EMPAQUES DEL CENTRO SA DE CV,CLARA,Crédito,60,"1,000",8,Pza,$13.07,935,"7,591",63,-,-,-,Ok,-,"4,502","7,656.00","6,753","1,000","$13,070.00","2,495","6,656",-,Ok,-,"4,502","5,161.00","6,753",-,$-,"2,495","4,161",-,Fincar,"1,836","4,502","2,666.00","6,753",-,$-,"2,251","1,666",585,Fincar,"4,087","4,502",414.87,"6,753",-,$-,"2,251",-,"2,251",Fincar,"4,502","4,502",-,"6,753",-,$-,"2,251",-,"2,251",Fincar,"4,502","4,502",-,"6,753",-,CORRUGADO,ACTIVO
CRGNDETBC2,CRGNDETBC2,CORRUGADO DETERGENTE ROPA COLOR 2 LT BEST CHOICE,CARTO EMPAQUES DEL CENTRO SA DE CV,CLARA,Crédito,60,"1,000",8,Pza,$10.19,"1,634.00","4,187",-,-,-,-,Ok,-,"2,222","2,553.00","3,333",-,$-,"1,634","2,553",-,Fincar,"1,303","2,222",919,"3,333",-,$-,"1,634",919,715,Fincar,"2,222","2,222",-,"3,333",-,$-,"1,111",-,"1,111",Fincar,"2,222","2,222",-,"3,333",-,$-,"1,111",-,"1,111",Fincar,"2,222","2,222",-,"3,333",-,$-,"1,111",-,"1,111",Fincar,"2,222","2,222",-,"3,333",-,CORRUGADO,ACTIVO
CRGENERBC1,CRGENERBC1,CORRUGADO GENERICO LIMP BC 1L,CARTO EMPAQUES DEL CENTRO SA DE CV,CLARA,Crédito,60,"1,000",8,Pza,$7.65,-,"5,886",-,-,-,-,Ok,-,"4,033","5,886.00","6,049",-,$-,"2,475","5,886",-,Fincar,622,"4,033","3,411.00","6,049",-,$-,"2,475","3,411",-,Fincar,"3,097","4,033",936,"6,049",-,$-,"2,016",936,"1,080",Fincar,"4,033","4,033",-,"6,049",-,$-,"2,016",-,"2,016",Fincar,"4,033","4,033",-,"6,049",-,$-,"2,016",-,"2,016",Fincar,"4,033","4,033",-,"6,049",-,CORRUGADO,ACTIVO
